групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.1;Чортківський район;Чортків;Тарнавського;всі
1.1;Чортківський район;Чортків;Героїв Маріуполя;всі
1.1;Чортківський район;Чортків;Корольова;всі
1.1;Чортківський район;Чортків;Стефаника;всі
1.1;Чортківський район;Чортків;Сірка;всі
1.1;Чортківський район;Чортків;Байди-Вишневецького;всі
1.1;Чортківський район;Чортків;Сагайдачного;всі
1.1;Чортківський район;Чортків;Нова;всі
1.1;Чортківський район;Чортків;Мельничука;всі
1.1;Чортківський район;Чортків;В.Великого;всі
1.1;Чортківський район;Чортків;Кадуб;всі
1.1;Чортківський район;Чортків;Бандери;всі
1.1;Чортківський район;Чортків;Коновальця;всі
1.1;Чортківський район;Чортків;16 липня;всі
1.1;Чортківський район;Чортків;Рильського;всі
1.1;Чортківський район;Чортків;Довбуша;всі
1.1;Чортківський район;Чортків;Огієнка;всі
1.1;Чортківський район;Чортків;Тичини;всі
1.1;Чортківський район;Чортків;Шухевича;всі
1.1;Чортківський район;Чортків;8 березня;всі
1.1;Чортківський район;Чортків;Кривоноса;всі
1.1;Чортківський район;Чортків;Ягільницька;всі
1.1;Чортківський район;Чортків;Богуна;всі
1.1;Чортківський район;Чортків;Заводська;всі
1.1;Чортківський район;Чортків;Антонича;всі
1.1;Чортківський район;Чортків;Гаврилишина;всі
1.1;Чортківський район;Чортків;Наливайка;всі
1.1;Чортківський район;Чортків;Водна;всі
1.1;Чортківський район;Чортків;Пігути;всі
1.1;Чортківський район;Чортків;Монастирська;всі
1.1;Чортківський район;Чортків;Синенького;всі
1.1;Чортківський район;Чортків;Маньовського;всі
1.1;Чортківський район;Чортків;рошенка;всі
1.1;Чортківський район;Чортків;Лісна;всі
1.1;Чортківський район;Чортків;Криницького-Дровняка;всі
1.1;Чортківський район;Чортків;масив Золотарка;всі
1.1;Чортківський район;Угринь;всі;всі
1.1;Чортківський район;Пастуше;всі;всі
1.1;Чортківський район;Залісся;всі;всі
1.1;Чортківський район;Вигнанка;всі;всі
1.1;Чортківський район;Переходи;всі;всі
1.1;Чортківський район;Зелена;всі;всі
1.1;Чортківський район;Улашківці;всі;всі
1.1;Чортківський район;Салівка;всі;всі
1.1;Чортківський район;Сосулівка;всі;всі
1.1;Чортківський район;Росохач;всі;всі
1.1;Чортківський район;Нагірянка;всі;всі
1.1;Чортківський район;Ягільниця;всі;всі
1.1;Чортківський район;Милівці;всі;всі
1.1;Чортківський район;Заболотівка;всі;всі
1.1;Чортківський район;Капустинці;всі;всі
1.1;Чортківський район;Улашківці;всі;всі
1.1;Чортківський район;Давидківці;всі;всі
1.1;Чортківський район;Тарнавка;всі;всі
1.1;Чортківський район;Колиндяни;всі;всі
1.1;Чортківський район;Малі Чорнокінці;всі;всі
1.1;Чортківський район;Базар;всі;всі
1.1;Чортківський район;Полівці;всі;всі
1.1;Чортківський район;Палашівка;всі;всі
1.1;Чортківський район;Криволука;всі;всі
1.1;Чортківський район;Семінче;всі;всі
1.1;Чортківський район;Товстеньке;всі;всі
1.1;Чортківський район;Босири;всі;всі
1.1;Чортківський район;Сокиринці;всі;всі
1.1;Чортківський район;Коцюбинчики;всі;всі
1.1;Чортківський район;Кривеньке;всі;всі
1.1;Чортківський район;Васильків;всі;всі
1.1;Чортківський район;Пробіжна;всі;всі
1.1;Чортківський район;Швайківці;всі;всі
1.1;Чортківський район;Великі Чорнокінці;всі;всі
1.1;Чортківський район;Воля Чорнокінецька;всі;всі
1.1;Чортківський район;Жабинці;всі;всі
1.1;Чортківський район;Гадинківці;всі;всі
1.1;Чортківський район;Текліївка;всі;всі
1.1;Чортківський район;Джурин;всі;всі
1.1;Чортківський район;Сл.Джуринська;всі;всі
1.1;Чортківський район;Білобожниця;всі;всі
1.1;Чортківський район;Мазурівка;всі;всі
1.1;Чортківський район;Калинівщина;всі;всі
1.1;Чортківський район;Семаківці;всі;всі
1.1;Чортківський район;Звиняч;всі;всі
1.1;Чортківський район;Косів;всі;всі
1.1;Чортківський район;Ромашівка;всі;всі
1.1;Чортківський район;Ридодуби;всі;всі
1.1;Чортківський район;Бичківці;всі;всі
1.1;Чортківський район;Скородинці;всі;всі
1.1;Чортківський район;Скомороше;всі;всі
1.1;Чортківський район;Білий Потік;всі;всі
1.1;Чортківський район;Біла;всі;всі
1.1;Чортківський район;Заводське;всі;всі
1.1;Чортківський район;Шманьківці;всі;всі
1.1;Чортківський район;Шманьківчики;всі;всі
1.1;Чортківський район;Мухавка;Садова;всі
1.1;Чортківський район;Мухавка;Шевченка;всі
1.1;Чортківський район;Мухавка;Лесі Українки;всі
1.1;Чортківський район;Мухавка;Грушевського;всі
1.1;Чортківський район;ПАП «Фортуна»;всі;всі
1.1;Чортківський район;ТОВ «Вітагро Енерджі»;всі;всі
1.1;Чортківський район;"ТзОВ""Се Борднетце-Україна""";всі;всі
1.1;Чортківський район;"ДП ""УКРАВТОГАЗ""";всі;всі
